,cell_i,cell_j,total score,timeconsume,error,error_rate
29,30,31,1328.822535,106.8091667,1222.013368,1144.11%
17,27,30,910.9007907,171.9066667,738.994124,429.88%
25,28,32,1331.154854,286.995,1044.159854,363.83%
38,32,30,544.3994119,119.8473684,424.5520435,354.24%
0,23,42,351.2216542,95.37283951,255.8488147,268.26%
7,25,32,1110.908429,324.2,786.7084286,242.66%
24,28,29,726.6147321,253.3666667,473.2480655,186.78%
4,24,45,371.7810459,134.0297619,237.751284,177.39%
10,25,44,523.098506,205.1644444,317.9340615,154.97%
13,26,37,697.4779176,300.3627778,397.1151399,132.21%
23,28,26,571.7506462,262.008046,309.7426003,118.22%
37,32,23,0,341.7627778,-341.7627778,100.00%
36,31,45,0,59.43888889,-59.43888889,100.00%
12,26,35,0,23.15,-23.15,100.00%
11,26,32,0,55.97916667,-55.97916667,100.00%
21,27,42,769.8255869,419.3755556,350.4500314,83.56%
8,25,38,265.2516678,148.158046,117.0936218,79.03%
47,39,17,107.4043746,336.8761111,-229.4717365,68.12%
16,27,29,668.1285341,2092.380556,-1424.252021,68.07%
40,33,25,26.28066594,69.69895833,-43.4182924,62.29%
42,33,31,503.80596,1220.985,-717.17904,58.74%
3,24,42,559.8654176,355,204.8654176,57.71%
9,25,43,700.5329714,1365.7,-665.1670286,48.71%
1,23,46,124.6035042,230.2877778,-105.6842736,45.89%
26,29,27,472.0756172,844.605,-372.5293828,44.11%
46,36,24,70.44520396,122.1376543,-51.69245036,42.32%
2,24,28,212.691227,367.8305556,-155.1393285,42.18%
27,29,31,1236.692686,2023.885,-787.1923136,38.90%
33,31,25,258.2623968,421.9922222,-163.7298254,38.80%
31,31,23,452.8553633,703.7661111,-250.9107478,35.65%
22,28,24,547.569383,774.4333333,-226.8639504,29.29%
15,26,43,402.8902331,557.3572222,-154.4669891,27.71%
18,27,32,1032.908011,810.7216667,222.1863439,27.41%
14,26,42,498.3654914,391.5916667,106.7738247,27.27%
28,30,28,460.9860095,598.3905556,-137.404546,22.96%
19,27,33,960.5092133,1245.098889,-284.5896756,22.86%
39,33,23,102.5860928,130.6061111,-28.02001829,21.45%
32,31,24,391.3458575,495.1505556,-103.804698,20.96%
30,30,33,1294.569767,1608.410556,-313.8407882,19.51%
20,27,35,1792.276944,2090.032222,-297.7552778,14.25%
6,25,30,631.9076929,556.4716667,75.43602622,13.56%
34,31,26,160.4965165,174.3952381,-13.89872163,7.97%
41,33,27,64.33546765,68.99473684,-4.659269191,6.75%
43,33,32,596.8774241,636.7377778,-39.86035363,6.26%
5,25,29,443.976214,454.7883333,-10.81211931,2.38%
45,35,30,318.3141057,323.5787356,-5.264629918,1.63%
44,34,33,399.3391229,393.4505556,5.888567333,1.50%
35,31,30,614.1974405,606.3011111,7.896329421,1.30%
