,cell_i,cell_j,total score,timeconsume
0,23,42,74.2348148148,44.645
1,23,46,113.581333333,196.321111111
2,24,28,153.613660131,309.358888889
3,24,42,222.303792406,311.473888889
4,24,45,124.558726496,77.1038888889
5,25,29,789.750610703,404.116666667
6,25,30,133.085104167,357.546111111
7,25,32,318.191936275,273.788888889
8,25,38,195.455833333,110.933333333
9,25,43,1162.37784149,1256.25555556
10,25,44,366.181742147,142.706111111
11,26,32,0.0,5.95111111111
12,26,35,0.0,1.42388888889
13,26,37,195.455833333,279.978333333
14,26,42,401.098261073,251.283333333
15,26,43,144.67681352,500.595555556
16,27,29,1399.44138889,1746.66944444
17,27,30,62.6545138889,121.886666667
18,27,32,626.663140794,686.36
19,27,33,304.285389841,1061.52944444
20,27,35,1653.12888889,1626.69666667
21,27,42,477.319452496,304.028888889
22,28,24,544.124444444,544.124444444
23,28,26,772.413456633,208.375
24,28,29,609.434620596,200.183333333
25,28,32,1542.66085422,230.915
26,29,27,218.34644867,723.082777778
27,29,31,1032.00826818,1687.73666667
28,30,28,352.33842803,411.640555556
29,30,31,346.768745828,54.0205555556
30,30,33,748.860555556,748.860555556
31,31,23,567.488950535,349.68
32,31,24,190.779396415,425.672222222
33,31,25,436.779477124,291.018333333
34,31,26,47.757037037,107.951666667
35,31,30,352.039566626,557.224444444
36,31,45,26.7177777778,17.0255555556
37,32,23,0.0,98.0022222222
38,32,30,270.333389115,9.89722222222
39,33,23,118.899583333,88.2738888889
40,33,25,15.2261111111,15.2261111111
41,33,27,35.5144444444,35.5144444444
42,33,31,1103.24843126,1129.26166667
43,33,32,236.112824685,524.358888889
44,34,33,516.2925548,353.952777778
45,35,30,256.545,256.545
46,36,24,57.7011111111,57.7011111111
47,39,17,249.801111111,249.801111111
