,nlon,nlat,timeconsume,Unnamed: 0,cell_i,cell_j,type,total score,average score
0,23,42,41.0472222222,35,23,42,Current,70.4642300195,8
1,23,46,72.3588888889,39,23,46,Current,60.8229012346,15
2,24,28,119.837777778,25,24,28,Current,114.16317165,14
3,24,42,204.722222222,10,24,42,Current,127.000491078,31
4,24,45,110.895555556,41,24,45,Current,63.5881032548,15
5,25,29,466.397777778,22,25,29,Current,551.911275748,20
6,25,30,215.976666667,14,25,30,Current,136.137774825,17
7,25,32,313.945,4,25,32,Current,313.945,52
8,25,43,1192.98888889,13,25,43,Current,1004.66512989,38
9,25,44,30.4172222222,38,25,44,Current,363.779701394,36
10,26,37,343.864444444,28,26,37,Current,171.932222222,8
11,26,42,188.258888889,31,26,42,Current,314.314209325,39
12,26,43,474.027222222,19,26,43,Current,159.922306683,39
13,27,29,1816.89666667,11,27,29,Current,1092.29085965,21
14,27,30,64.7772222222,42,27,30,Current,85.669871345,21
15,27,32,583.376666667,21,27,32,Current,492.181445978,18
16,27,33,1049.08055556,29,27,33,Current,328.120963986,18
17,27,35,1319.31,32,27,35,Current,1319.31,41
18,27,42,242.173333333,37,27,42,Current,392.332371565,16
19,28,24,342.14,34,28,24,Current,342.14,14
20,28,26,185.330555556,8,28,26,Current,616.990467012,5
21,28,29,152.985555556,1,28,29,Current,856.69871345,21
22,28,32,267.106666667,2,28,32,Current,1563.55104005,29
23,29,27,590.856111111,20,29,27,Current,180.630775521,11
24,29,31,1521.72277778,16,29,31,Current,956.695591538,13
25,30,28,219.766666667,17,30,28,Current,198.3320908,9
26,30,31,55.0811111111,5,30,31,Current,179.653203073,17
27,30,33,574.222777778,12,30,33,Current,574.222777778,5
28,31,23,192.468333333,6,31,23,Current,378.823323158,17
29,31,24,412.297777778,30,31,24,Current,100.73243081,25
30,31,25,191.132777778,18,31,25,Current,305.713449735,19
31,31,26,26.5322222222,3,31,26,Current,37.1619074074,9
32,31,30,349.949444444,9,31,30,Current,283.316097482,6
33,31,45,1.91222222222,40,31,45,Current,1.91222222222,0
34,32,30,4.97055555556,43,32,30,Current,88.2304617634,22
35,33,23,51.1683333333,36,33,23,Current,51.1683333333,3
36,33,25,31.4822222222,24,33,25,Current,31.4822222222,3
37,33,27,5.23277777778,23,33,27,Current,5.23277777778,0
38,33,31,1024.15277778,44,33,31,Current,935.292758078,19
39,33,32,363.978888889,33,33,32,Current,300.568804388,25
40,34,33,372.751111111,27,34,33,Current,464.560189221,9
41,36,24,22.275,15,36,24,Current,22.275,5
42,39,17,263.614444444,7,39,17,Current,263.614444444,21
